platform_id,region,platform_name,entry_type,primary_url,signup_url,api_available,automation_level,human_gates,notes
amazon_kdp,global,Amazon KDP,self_publish,https://kdp.amazon.com/,https://kdp.amazon.com/signin,false,assisted_browser,captcha;email_verify;tax_info;payout_info;content_rights_confirm;ai_disclosure;exclusivity;final_submit,"세계 최대. KDP Select 켜면 90일 독점. eBook ISBN 불필요."
google_play_books,global,Google Play Books Partner Center,self_publish,https://play.google.com/books/publish/,https://play.google.com/books/publish/signup,true,assisted_browser,tos_agree;tax_info;payout_info;final_submit,"파트너센터 + 카탈로그 업로드. 콘텐츠 API 존재(파트너)."
apple_books,global,Apple Books for Authors,self_publish,https://authors.apple.com/,https://authors.apple.com/,true,assisted_browser,identity_verify;tax_info;payout_info;tos_agree;final_submit,"Apple ID 필요. EPUB 직접 또는 Transporter/iTunes Producer."
kobo_writing_life,global,Kobo Writing Life,self_publish,https://www.kobo.com/writinglife,https://www.kobo.com/writinglife,true,assisted_browser,email_verify;tax_info;payout_info;pricing_confirm;final_submit,"비독점 가능. OverDrive/Kobo Plus 선택."
barnes_noble_press,us,Barnes & Noble Press,self_publish,https://press.barnesandnoble.com/,https://press.barnesandnoble.com/sign-up,false,assisted_browser,email_verify;tax_info;payout_info;final_submit,"미국 중심. EPUB 업로드."
draft2digital,global,Draft2Digital,aggregator,https://www.draft2digital.com/,https://draft2digital.com/account/register/,false,aggregator,email_verify;tax_info;payout_info;tos_agree;final_submit,"다중 스토어/도서관 배급. Smashwords 통합. KDP 중복 주의."
smashwords,global,Smashwords (D2D),aggregator,https://www.smashwords.com/,https://www.smashwords.com/signup,false,aggregator,email_verify;tax_info;payout_info;final_submit,"D2D 와 통합 운영."
publishdrive,global,PublishDrive,aggregator,https://publishdrive.com/,https://app.publishdrive.com/registration,true,api,email_verify;tax_info;payout_info;final_submit,"다중 스토어 대량 카탈로그. API 제공."
streetlib,global,StreetLib,aggregator,https://www.streetlib.com/,https://stores.streetlib.com/en/signup,true,api,email_verify;tax_info;payout_info;final_submit,"글로벌/EU 배급. API."
ingramspark,global,IngramSpark,aggregator_pod,https://www.ingramspark.com/,https://myaccount.ingramspark.com/Account/Signup,false,aggregator_pod,identity_verify;tax_info;payout_info;final_submit,"POD/글로벌 유통 강점. Amazon 중복 주의."
lulu,global,Lulu,direct_store,https://www.lulu.com/,https://www.lulu.com/account/create,true,assisted_browser,email_verify;tax_info;payout_info;final_submit,"POD + eBook. Print API 존재."
bookbaby,us,BookBaby,service,https://www.bookbaby.com/,https://author.bookbaby.com/register,false,manual_contract,identity_verify;payout_info;final_submit,"유료 서비스형. 패키지 결제."
blurb,global,Blurb,direct_store,https://www.blurb.com/,https://login.blurb.com/registrations/new,true,assisted_browser,email_verify;payout_info;final_submit,"포토북/매거진 강점. API 존재."
